"Package";"License";"License_restricts_use";"Built";"author"
"assertthat";"GPL-3";NA;"4.0.2";"Hadley Wickham"
"backports";"GPL-2 | GPL-3";NA;"4.0.2";"Michel Lang and R Core Team"
"base";"Part of R 4.0.2";NA;"4.0.2";"R Core Team and contributors worldwide"
"blob";"GPL-3";NA;"4.0.2";"Hadley Wickham"
"broom";"MIT + file LICENSE";NA;"4.0.5";"David Robinson, Alex Hayes and Simon Couch"
"cellranger";"MIT + file LICENSE";NA;"4.0.2";"Jennifer Bryan"
"cli";"MIT + file LICENSE";NA;"4.0.5";"Gábor Csárdi"
"colorspace";"BSD_3_clause + file LICENSE";NA;"4.0.2";"Ross Ihaka, Paul Murrell, Kurt Hornik, Jason C. Fisher, Reto Stauffer, Claus O. Wilke, Claire D. McWhite and Achim Zeileis"
"compiler";"Part of R 4.0.2";NA;"4.0.2";"Luke Tierney"
"crayon";"MIT + file LICENSE";NA;"4.0.2";"Gábor Csárdi"
"datasets";"Part of R 4.0.2";NA;"4.0.2";"R Core Team and contributors worldwide"
"DBI";"LGPL (>= 2.1)";NA;"4.0.2";"R Special Interest Group on Databases (R-SIG-DB), Hadley Wickham and Kirill Müller"
"dbplyr";"MIT + file LICENSE";NA;"4.0.2";"Hadley Wickham and Edgar Ruiz"
"dplyr";"MIT + file LICENSE";NA;"4.0.5";"Hadley Wickham, Romain François, Lionel Henry and Kirill Müller"
"ellipsis";"MIT + file LICENSE";NA;"4.0.5";"Hadley Wickham"
"fansi";"GPL (>= 2)";NA;"4.0.2";"Brodie Gaslam"
"farver";"MIT + file LICENSE";NA;"4.0.2";"Thomas Lin Pedersen, Berendea Nicolae and Romain François"
"forcats";"GPL-3";NA;"4.0.2";"Hadley Wickham"
"fs";"GPL-3";NA;"4.0.2";"Jim Hester and Hadley Wickham"
"generics";"MIT + file LICENSE";NA;"4.0.5";"Hadley Wickham, Max Kuhn and Davis Vaughan"
"ggplot2";"MIT + file LICENSE";NA;"4.0.5";"Hadley Wickham, Winston Chang, Lionel Henry, Thomas Lin Pedersen, Kohske Takahashi, Claus Wilke, Kara Woo, Hiroaki Yutani and Dewey Dunnington"
"glue";"MIT + file LICENSE";NA;"4.0.2";"Jim Hester"
"graphics";"Part of R 4.0.2";NA;"4.0.2";"R Core Team and contributors worldwide"
"grDevices";"Part of R 4.0.2";NA;"4.0.2";"R Core Team and contributors worldwide"
"grid";"Part of R 4.0.2";NA;"4.0.2";"Paul Murrell"
"gtable";"GPL-2";NA;"4.0.2";"Hadley Wickham and Thomas Lin Pedersen"
"haven";"MIT + file LICENSE";NA;"4.0.5";"Hadley Wickham and Evan Miller"
"hms";"GPL-3";NA;"4.0.2";"Kirill Müller"
"httr";"MIT + file LICENSE";NA;"4.0.2";"Hadley Wickham"
"jsonlite";"MIT + file LICENSE";NA;"4.0.2";"Jeroen Ooms"
"lifecycle";"MIT + file LICENSE";NA;"4.0.5";"Lionel Henry and Hadley Wickham"
"lubridate";"GPL (>= 2)";NA;"4.0.2";"Vitalie Spinu, Garrett Grolemund and Hadley Wickham"
"magrittr";"MIT + file LICENSE";NA;"4.0.2";"Stefan Milton Bache and Hadley Wickham"
"methods";"Part of R 4.0.2";NA;"4.0.2";"R Core Team"
"modelr";"GPL-3";NA;"4.0.2";"Hadley Wickham"
"munsell";"MIT + file LICENSE";NA;"4.0.2";"Charlotte Wickham"
"packrat";"GPL-2";NA;"4.0.2";"Kevin Ushey, Jonathan McPherson, Joe Cheng, Aron Atkins and JJ Allaire"
"pillar";"MIT + file LICENSE";NA;"4.0.5";"Kirill Müller and Hadley Wickham"
"pkgconfig";"MIT + file LICENSE";NA;"4.0.2";"Gábor Csárdi"
"purrr";"GPL-3 | file LICENSE";NA;"4.0.2";"Lionel Henry and Hadley Wickham"
"R6";"MIT + file LICENSE";NA;"4.0.2";"Winston Chang"
"Rcpp";"GPL (>= 2)";NA;"4.0.5";"Dirk Eddelbuettel, Romain Francois, JJ Allaire, Kevin Ushey, Qiang Kou, Nathan Russell, Inaki Ucar, Douglas Bates and John Chambers"
"readr";"GPL (>= 2) | file LICENSE";NA;"4.0.2";"Hadley Wickham, Jim Hester and Romain Francois"
"readxl";"GPL-3";NA;"4.0.2";"Hadley Wickham and Jennifer Bryan"
"reprex";"MIT + file LICENSE";NA;"4.0.2";"Jennifer Bryan, Jim Hester, David Robinson and Hadley Wickham"
"rlang";"MIT + file LICENSE";NA;"4.0.5";"Lionel Henry and Hadley Wickham"
"rstudioapi";"MIT + file LICENSE";NA;"4.0.2";"Kevin Ushey, JJ Allaire, Hadley Wickham and Gary Ritchie"
"rvest";"GPL-3";NA;"4.0.2";"Hadley Wickham"
"scales";"MIT + file LICENSE";NA;"4.0.2";"Hadley Wickham and Dana Seidel"
"stats";"Part of R 4.0.2";NA;"4.0.2";"R Core Team and contributors worldwide"
"stringi";"file LICENSE";NA;"4.0.2";"Marek Gagolewski, Bartek Tartanus, and other contributors; IBM, Unicode, Inc., other contributors; Unicode and Inc."
"stringr";"GPL-2 | file LICENSE";NA;"4.0.2";"Hadley Wickham"
"tibble";"MIT + file LICENSE";NA;"4.0.2";"Kirill Müller and Hadley Wickham"
"tidyr";"MIT + file LICENSE";NA;"4.0.2";"Hadley Wickham"
"tidyselect";"GPL-3";NA;"4.0.2";"Lionel Henry and Hadley Wickham"
"tidyverse";"GPL-3 | file LICENSE";NA;"4.0.2";"Hadley Wickham"
"tools";"Part of R 4.0.2";NA;"4.0.2";"R Core Team"
"utf8";"Apache License (== 2.0) | file LICENSE";NA;"4.0.2";"Patrick O. Perry"
"utils";"Part of R 4.0.2";NA;"4.0.2";"R Core Team and contributors worldwide"
"vctrs";"MIT + file LICENSE";NA;"4.0.5";"Hadley Wickham, Lionel Henry and Davis Vaughan"
"withr";"GPL (>= 2)";NA;"4.0.2";"Jim Hester, Kirill Müller, Kevin Ushey, Hadley Wickham and Winston Chang"
"xml2";"GPL (>= 2)";NA;"4.0.2";"Hadley Wickham, Jim Hester and Jeroen Ooms"
