"country","age_group","cases","hospitalization","icu","mortality"
"Czechia","0-19",0.177025975595505,0.00988298913803552,0.00427444911194635,0.000166611129623459
"Czechia","20-29",0.114977991608146,0.0137367333302255,0.00736973984818336,0.000666444518493835
"Czechia","30-39",0.15188736817188,0.0337513402638572,0.0245412336944506,0.00324891702765745
"Czechia","40-49",0.196769106150664,0.0750547760011188,0.0732552140909426,0.0136621126291236
"Czechia","50-59",0.152887159424256,0.11806753375911,0.135382121011128,0.0428190603132289
"Czechia","60-69",0.103767545038049,0.205786832004724,0.275480875525094,0.156864378540487
"Czechia","70-79",0.0696248235882818,0.308874489145805,0.353600117915838,0.381289570143286
"Czechia","80+",0.0330600304232183,0.234845306357124,0.126096248802417,0.401282905698101
"Denmark","0-19",0.280611423188986,0.0274120440319447,0.0314814814814815,0
"Denmark","20-29",0.228122147985105,0.0429527304122599,0.0277777777777778,0
"Denmark","30-39",0.146159815323647,0.0669112885819124,0.0296296296296296,0.005
"Denmark","40-49",0.132411578387401,0.0949708612130369,0.0722222222222222,0.00666666666666667
"Denmark","50-59",0.106403642770341,0.145909777681848,0.172222222222222,0.02
"Denmark","60-69",0.0554370689949683,0.152816749406432,0.238888888888889,0.0783333333333333
"Denmark","70-79",0.0317034246140782,0.219728037988344,0.32037037037037,0.281666666666667
"Denmark","80+",0.0191508987354746,0.249298510684222,0.107407407407407,0.608333333333333
"Germany","0-19",0.217802535019406,0.0225632661130882,0.00396762418663704,0.000253018145015543
"Germany","20-29",0.158181635514502,0.0327822261763543,0.00888747817806697,0.000722908985758693
"Germany","30-39",0.160258569615522,0.0491053776196125,0.0296778289160451,0.00278319959517097
"Germany","40-49",0.141752322191836,0.0619810201660735,0.051737819393747,0.00592785368322128
"Germany","50-59",0.144830232891426,0.117462435745354,0.128233613712109,0.0284103231403166
"Germany","60-69",0.0805586705257823,0.158128212732305,0.217584510395175,0.0849056603773585
"Germany","70-79",0.0431480012233338,0.207591933570581,0.265672115537216,0.198727680185065
"Germany","80+",0.0534680330181919,0.350385527876631,0.294239009681003,0.678269355888094
