"country","age_group","population"
"Austria","0-19",1750390
"Austria","20-29",1115377
"Austria","30-39",1243416
"Austria","40-49",1178265
"Austria","50-59",1407000
"Austria","60-69",1033320
"Austria","70-79",790437
"Austria","80+",488195
"Belgium","0-19",2614954
"Belgium","20-29",1386085
"Belgium","30-39",1503997
"Belgium","40-49",1518439
"Belgium","50-59",1598741
"Belgium","60-69",1369876
"Belgium","70-79",939413
"Belgium","80+",658111
"Bulgaria","0-19",1335263
"Bulgaria","20-29",689917
"Bulgaria","30-39",957591
"Bulgaria","40-49",1061985
"Bulgaria","50-59",944704
"Bulgaria","60-69",922592
"Bulgaria","70-79",710368
"Bulgaria","80+",326025
"Croatia","0-19",793882
"Croatia","20-29",472200
"Croatia","30-39",539291
"Croatia","40-49",557002
"Croatia","50-59",581383
"Croatia","60-69",565378
"Croatia","70-79",361955
"Croatia","80+",234177
"Cyprus","0-19",274050
"Cyprus","20-29",191802
"Cyprus","30-39",188389
"Cyprus","40-49",166628
"Cyprus","50-59",147538
"Cyprus","60-69",120401
"Cyprus","70-79",78681
"Cyprus","80+",39872
"Czechia","0-19",2174977
"Czechia","20-29",1105339
"Czechia","30-39",1478210
"Czechia","40-49",1798354
"Czechia","50-59",1351270
"Czechia","60-69",1324617
"Czechia","70-79",1031099
"Czechia","80+",445116
"Denmark","0-19",1281977
"Denmark","20-29",775962
"Denmark","30-39",672290
"Denmark","40-49",738207
"Denmark","50-59",810126
"Denmark","60-69",654530
"Denmark","70-79",586138
"Denmark","80+",272973
"Estonia","0-19",281149
"Estonia","20-29",145554
"Estonia","30-39",193631
"Estonia","40-49",184938
"Estonia","50-59",165283
"Estonia","60-69",169472
"Estonia","70-79",107429
"Estonia","80+",79083
"Finland","0-19",1175339
"Finland","20-29",672353
"Finland","30-39",706580
"Finland","40-49",659560
"Finland","50-59",720555
"Finland","60-69",712325
"Finland","70-79",582988
"Finland","80+",311018
"France","0-19",15410951
"France","20-29",7371029
"France","30-39",8011050
"France","40-49",8325667
"France","50-59",8635057
"France","60-69",7764786
"France","70-79",5727704
"France","80+",4027268
"Germany","0-19",15811520
"Germany","20-29",9377361
"Germany","30-39",10872020
"Germany","40-49",10243351
"Germany","50-59",13488393
"Germany","60-69",10644142
"Germany","70-79",7471414
"Germany","80+",5875744
"Greece","0-19",1949982
"Greece","20-29",1057216
"Greece","30-39",1336515
"Greece","40-49",1574409
"Greece","50-59",1505694
"Greece","60-69",1257162
"Greece","70-79",956083
"Greece","80+",785995
"Hungary","0-19",1877773
"Hungary","20-29",1151690
"Hungary","30-39",1257142
"Hungary","40-49",1588213
"Hungary","50-59",1201388
"Hungary","60-69",1306432
"Hungary","70-79",846576
