"YearWeekISO","ReportingCountry","FirstDose","SecondDose","DoseAdditional1","TargetGroup","Vaccine","Region"
"2020-W53","AT",0,0,0,"ALL","AZ","AT"
"2020-W53","AT",3,0,0,"ALL","UNK","AT"
"2020-W53","AT",0,0,0,"ALL","MOD","AT"
"2020-W53","AT",0,0,0,"ALL","JANSS","AT"
"2020-W53","AT",0,0,0,"ALL","NVXD","AT"
"2020-W53","AT",5314,0,0,"ALL","COM","AT"
"2020-W53","AT",0,0,0,"Age0_4","MOD","AT"
"2020-W53","AT",0,0,0,"Age0_4","UNK","AT"
"2020-W53","AT",1,0,0,"Age0_4","COM","AT"
"2020-W53","AT",0,0,0,"Age0_4","AZ","AT"
"2020-W53","AT",0,0,0,"Age0_4","NVXD","AT"
"2020-W53","AT",0,0,0,"Age0_4","JANSS","AT"
"2020-W53","AT",0,0,0,"Age10_14","AZ","AT"
"2020-W53","AT",0,0,0,"Age10_14","JANSS","AT"
"2020-W53","AT",0,0,0,"Age10_14","MOD","AT"
"2020-W53","AT",0,0,0,"Age10_14","COM","AT"
"2020-W53","AT",0,0,0,"Age10_14","NVXD","AT"
"2020-W53","AT",0,0,0,"Age10_14","UNK","AT"
"2020-W53","AT",5,0,0,"Age15_17","COM","AT"
"2020-W53","AT",0,0,0,"Age15_17","AZ","AT"
"2020-W53","AT",0,0,0,"Age15_17","JANSS","AT"
"2020-W53","AT",0,0,0,"Age15_17","NVXD","AT"
"2020-W53","AT",0,0,0,"Age15_17","UNK","AT"
"2020-W53","AT",0,0,0,"Age15_17","MOD","AT"
"2020-W53","AT",0,0,0,"Age18_24","AZ","AT"
"2020-W53","AT",0,0,0,"Age18_24","MOD","AT"
"2020-W53","AT",89,0,0,"Age18_24","COM","AT"
"2020-W53","AT",1,0,0,"Age18_24","UNK","AT"
"2020-W53","AT",0,0,0,"Age18_24","JANSS","AT"
"2020-W53","AT",0,0,0,"Age18_24","NVXD","AT"
"2020-W53","AT",0,0,0,"Age25_49","AZ","AT"
"2020-W53","AT",0,0,0,"Age25_49","JANSS","AT"
"2020-W53","AT",0,0,0,"Age25_49","NVXD","AT"
"2020-W53","AT",1325,0,0,"Age25_49","COM","AT"
"2020-W53","AT",1,0,0,"Age25_49","UNK","AT"
"2020-W53","AT",0,0,0,"Age25_49","MOD","AT"
"2020-W53","AT",0,0,0,"Age50_59","JANSS","AT"
"2020-W53","AT",1046,0,0,"Age50_59","COM","AT"
"2020-W53","AT",0,0,0,"Age50_59","NVXD","AT"
"2020-W53","AT",0,0,0,"Age50_59","MOD","AT"
"2020-W53","AT",0,0,0,"Age50_59","AZ","AT"
"2020-W53","AT",1,0,0,"Age50_59","UNK","AT"
"2020-W53","AT",0,0,0,"Age5_9","AZ","AT"
"2020-W53","AT",1,0,0,"Age5_9","COM","AT"
"2020-W53","AT",0,0,0,"Age5_9","JANSS","AT"
"2020-W53","AT",0,0,0,"Age5_9","UNK","AT"
"2020-W53","AT",0,0,0,"Age5_9","NVXD","AT"
"2020-W53","AT",0,0,0,"Age5_9","MOD","AT"
"2020-W53","AT",0,0,0,"Age60_69","NVXD","AT"
"2020-W53","AT",0,0,0,"Age60_69","UNK","AT"
"2020-W53","AT",0,0,0,"Age60_69","JANSS","AT"
"2020-W53","AT",597,0,0,"Age60_69","COM","AT"
"2020-W53","AT",0,0,0,"Age60_69","MOD","AT"
"2020-W53","AT",0,0,0,"Age60_69","AZ","AT"
"2020-W53","AT",0,0,0,"Age70_79","MOD","AT"
"2020-W53","AT",562,0,0,"Age70_79","COM","AT"
"2020-W53","AT",0,0,0,"Age70_79","JANSS","AT"
"2020-W53","AT",0,0,0,"Age70_79","AZ","AT"
"2020-W53","AT",0,0,0,"Age70_79","NVXD","AT"
"2020-W53","AT",0,0,0,"Age70_79","UNK","AT"
"2020-W53","AT",0,0,0,"Age80+","JANSS","AT"
"2020-W53","AT",0,0,0,"Age80+","MOD","AT"
"2020-W53","AT",0,0,0,"Age80+","UNK","AT"
"2020-W53","AT",0,0,0,"Age80+","NVXD","AT"
"2020-W53","AT",1695,0,0,"Age80+","COM","AT"
"2020-W53","AT",0,0,0,"Age80+","AZ","AT"
"2020-W53","AT",0,0,0,"Age<18","MOD","AT"
"2020-W53","AT",0,0,0,"Age<18","AZ","AT"
"2020-W53","AT",0,0,0,"Age<18","JANSS","AT"
"2020-W53","AT",0,0,0,"Age<18","NVXD","AT"
"2020-W53","AT",0,0,0,"Age<18","UNK","AT"
