"location","variant","date","num_sequences","perc_sequences","num_sequences_total"
"Austria","Alpha",2020-05-11,0,0,34
"Austria","B.1.1.277",2020-05-11,0,0,34
"Austria","B.1.1.302",2020-05-11,0,0,34
"Austria","B.1.1.519",2020-05-11,0,0,34
"Austria","B.1.160",2020-05-11,0,0,34
"Austria","B.1.177",2020-05-11,0,0,34
"Austria","B.1.221",2020-05-11,0,0,34
"Austria","B.1.258",2020-05-11,0,0,34
"Austria","B.1.367",2020-05-11,0,0,34
"Austria","B.1.620",2020-05-11,0,0,34
"Austria","Beta",2020-05-11,0,0,34
"Austria","Delta",2020-05-11,0,0,34
"Austria","Epsilon",2020-05-11,0,0,34
"Austria","Eta",2020-05-11,0,0,34
"Austria","Gamma",2020-05-11,0,0,34
"Austria","Iota",2020-05-11,0,0,34
"Austria","Kappa",2020-05-11,0,0,34
"Austria","Lambda",2020-05-11,0,0,34
"Austria","Mu",2020-05-11,0,0,34
"Austria","Omicron",2020-05-11,0,0,34
"Austria","S:677H.Robin1",2020-05-11,0,0,34
"Austria","S:677P.Pelican",2020-05-11,0,0,34
"Austria","others",2020-05-11,34,100,34
"Austria","non_who",2020-05-11,34,100,34
"Austria","Alpha",2020-05-25,0,0,41
"Austria","B.1.1.277",2020-05-25,0,0,41
"Austria","B.1.1.302",2020-05-25,0,0,41
"Austria","B.1.1.519",2020-05-25,0,0,41
"Austria","B.1.160",2020-05-25,0,0,41
"Austria","B.1.177",2020-05-25,0,0,41
"Austria","B.1.221",2020-05-25,0,0,41
"Austria","B.1.258",2020-05-25,0,0,41
"Austria","B.1.367",2020-05-25,0,0,41
"Austria","B.1.620",2020-05-25,0,0,41
"Austria","Beta",2020-05-25,0,0,41
"Austria","Delta",2020-05-25,0,0,41
"Austria","Epsilon",2020-05-25,0,0,41
"Austria","Eta",2020-05-25,0,0,41
"Austria","Gamma",2020-05-25,0,0,41
"Austria","Iota",2020-05-25,0,0,41
"Austria","Kappa",2020-05-25,0,0,41
"Austria","Lambda",2020-05-25,0,0,41
"Austria","Mu",2020-05-25,0,0,41
"Austria","Omicron",2020-05-25,0,0,41
"Austria","S:677H.Robin1",2020-05-25,0,0,41
"Austria","S:677P.Pelican",2020-05-25,0,0,41
"Austria","others",2020-05-25,41,100,41
"Austria","non_who",2020-05-25,41,100,41
"Austria","Alpha",2020-06-08,0,0,1
"Austria","B.1.1.277",2020-06-08,0,0,1
"Austria","B.1.1.302",2020-06-08,0,0,1
"Austria","B.1.1.519",2020-06-08,0,0,1
"Austria","B.1.160",2020-06-08,0,0,1
"Austria","B.1.177",2020-06-08,0,0,1
"Austria","B.1.221",2020-06-08,0,0,1
