"location","variant","date","num_sequences","perc_sequences","num_sequences_total"
"Angola","Alpha",2020-07-06,0,0,3
"Angola","B.1.1.277",2020-07-06,0,0,3
"Angola","B.1.1.302",2020-07-06,0,0,3
"Angola","B.1.1.519",2020-07-06,0,0,3
"Angola","B.1.160",2020-07-06,0,0,3
"Angola","B.1.177",2020-07-06,0,0,3
"Angola","B.1.221",2020-07-06,0,0,3
"Angola","B.1.258",2020-07-06,0,0,3
"Angola","B.1.367",2020-07-06,0,0,3
"Angola","B.1.620",2020-07-06,0,0,3
"Angola","Beta",2020-07-06,0,0,3
"Angola","Delta",2020-07-06,0,0,3
"Angola","Epsilon",2020-07-06,0,0,3
"Angola","Eta",2020-07-06,0,0,3
"Angola","Gamma",2020-07-06,0,0,3
"Angola","Iota",2020-07-06,0,0,3
"Angola","Kappa",2020-07-06,0,0,3
"Angola","Lambda",2020-07-06,0,0,3
"Angola","Mu",2020-07-06,0,0,3
"Angola","Omicron",2020-07-06,0,0,3
"Angola","S:677H.Robin1",2020-07-06,0,0,3
"Angola","S:677P.Pelican",2020-07-06,0,0,3
"Angola","others",2020-07-06,3,100,3
"Angola","non_who",2020-07-06,3,100,3
"Angola","Alpha",2020-08-31,0,0,1
"Angola","B.1.1.277",2020-08-31,0,0,1
"Angola","B.1.1.302",2020-08-31,0,0,1
"Angola","B.1.1.519",2020-08-31,0,0,1
"Angola","B.1.160",2020-08-31,0,0,1
"Angola","B.1.177",2020-08-31,0,0,1
"Angola","B.1.221",2020-08-31,0,0,1
"Angola","B.1.258",2020-08-31,0,0,1
"Angola","B.1.367",2020-08-31,0,0,1
"Angola","B.1.620",2020-08-31,0,0,1
"Angola","Beta",2020-08-31,1,100,1
"Angola","Delta",2020-08-31,0,0,1
"Angola","Epsilon",2020-08-31,0,0,1
"Angola","Eta",2020-08-31,0,0,1
"Angola","Gamma",2020-08-31,0,0,1
"Angola","Iota",2020-08-31,0,0,1
"Angola","Kappa",2020-08-31,0,0,1
"Angola","Lambda",2020-08-31,0,0,1
"Angola","Mu",2020-08-31,0,0,1
"Angola","Omicron",2020-08-31,0,0,1
"Angola","S:677H.Robin1",2020-08-31,0,0,1
"Angola","S:677P.Pelican",2020-08-31,0,0,1
"Angola","others",2020-08-31,0,0,1
"Angola","non_who",2020-08-31,0,0,1
"Angola","Alpha",2020-09-28,0,0,10
"Angola","B.1.1.277",2020-09-28,0,0,10
"Angola","B.1.1.302",2020-09-28,0,0,10
"Angola","B.1.1.519",2020-09-28,0,0,10
"Angola","B.1.160",2020-09-28,0,0,10
"Angola","B.1.177",2020-09-28,0,0,10
"Angola","B.1.221",2020-09-28,0,0,10
"Angola","B.1.258",2020-09-28,0,0,10
"Angola","B.1.367",2020-09-28,0,0,10
"Angola","B.1.620",2020-09-28,0,0,10
"Angola","Beta",2020-09-28,9,90,10
"Angola","Delta",2020-09-28,0,0,10
"Angola","Epsilon",2020-09-28,0,0,10
"Angola","Eta",2020-09-28,0,0,10
"Angola","Gamma",2020-09-28,0,0,10
"Angola","Iota",2020-09-28,0,0,10
"Angola","Kappa",2020-09-28,0,0,10
"Angola","Lambda",2020-09-28,0,0,10
"Angola","Mu",2020-09-28,0,0,10
"Angola","Omicron",2020-09-28,0,0,10
"Angola","S:677H.Robin1",2020-09-28,0,0,10
"Angola","S:677P.Pelican",2020-09-28,0,0,10
"Angola","others",2020-09-28,1,10,10
"Angola","non_who",2020-09-28,1,10,10
"Angola","Alpha",2020-10-12,0,0,29
"Angola","B.1.1.277",2020-10-12,0,0,29
"Angola","B.1.1.302",2020-10-12,0,0,29
"Angola","B.1.1.519",2020-10-12,0,0,29
"Angola","B.1.160",2020-10-12,0,0,29
"Angola","B.1.177",2020-10-12,0,0,29
"Angola","B.1.221",2020-10-12,0,0,29
"Angola","B.1.258",2020-10-12,0,0,29
"Angola","B.1.367",2020-10-12,0,0,29
"Angola","B.1.620",2020-10-12,0,0,29
"Angola","Beta",2020-10-12,24,82.76,29
"Angola","Delta",2020-10-12,0,0,29
"Angola","Epsilon",2020-10-12,0,0,29
"Angola","Eta",2020-10-12,0,0,29
"Angola","Gamma",2020-10-12,0,0,29
"Angola","Iota",2020-10-12,0,0,29
"Angola","Kappa",2020-10-12,0,0,29
"Angola","Lambda",2020-10-12,0,0,29
"Angola","Mu",2020-10-12,0,0,29
"Angola","Omicron",2020-10-12,0,0,29
"Angola","S:677H.Robin1",2020-10-12,0,0,29
"Angola","S:677P.Pelican",2020-10-12,0,0,29
"Angola","others",2020-10-12,5,17.24,29
"Angola","non_who",2020-10-12,5,17.24,29
"Angola","Alpha",2020-10-26,0,0,7
"Angola","B.1.1.277",2020-10-26,0,0,7
"Angola","B.1.1.302",2020-10-26,0,0,7
"Angola","B.1.1.519",2020-10-26,0,0,7
"Angola","B.1.160",2020-10-26,0,0,7
"Angola","B.1.177",2020-10-26,0,0,7
"Angola","B.1.221",2020-10-26,0,0,7
"Angola","B.1.258",2020-10-26,0,0,7
"Angola","B.1.367",2020-10-26,0,0,7
"Angola","B.1.620",2020-10-26,0,0,7
"Angola","Beta",2020-10-26,7,100,7
"Angola","Delta",2020-10-26,0,0,7
"Angola","Epsilon",2020-10-26,0,0,7
"Angola","Eta",2020-10-26,0,0,7
"Angola","Gamma",2020-10-26,0,0,7
"Angola","Iota",2020-10-26,0,0,7
"Angola","Kappa",2020-10-26,0,0,7
"Angola","Lambda",2020-10-26,0,0,7
"Angola","Mu",2020-10-26,0,0,7
"Angola","Omicron",2020-10-26,0,0,7
"Angola","S:677H.Robin1",2020-10-26,0,0,7
"Angola","S:677P.Pelican",2020-10-26,0,0,7
"Angola","others",2020-10-26,0,0,7
"Angola","non_who",2020-10-26,0,0,7
"Angola","Alpha",2020-12-07,0,0,6
"Angola","B.1.1.277",2020-12-07,0,0,6
"Angola","B.1.1.302",2020-12-07,0,0,6
"Angola","B.1.1.519",2020-12-07,0,0,6
"Angola","B.1.160",2020-12-07,0,0,6
"Angola","B.1.177",2020-12-07,0,0,6
"Angola","B.1.221",2020-12-07,0,0,6
"Angola","B.1.258",2020-12-07,0,0,6
"Angola","B.1.367",2020-12-07,0,0,6
"Angola","B.1.620",2020-12-07,0,0,6
"Angola","Beta",2020-12-07,6,100,6
"Angola","Delta",2020-12-07,0,0,6
"Angola","Epsilon",2020-12-07,0,0,6
"Angola","Eta",2020-12-07,0,0,6
"Angola","Gamma",2020-12-07,0,0,6
"Angola","Iota",2020-12-07,0,0,6
