imputation_id;vaccine;sex;age_group;cov;var;imputation_method
1;Comirnaty;F;12-17;13890683;7067979.972;multiple imputation
1;Comirnaty;F;18-24;17102404;11835803.04;multiple imputation
1;Comirnaty;F;25-29;12435376;11688362.62;multiple imputation
1;Comirnaty;F;30-39;30737635;26310030.97;multiple imputation
1;Comirnaty;F;40-49;36022821;29880708.02;multiple imputation
1;Comirnaty;F;5-11;110750;110609.672;multiple imputation
1;Comirnaty;F;50-59;36986368;24363456.91;multiple imputation
1;Comirnaty;F;60-69;26518506;17426048.68;multiple imputation
1;Comirnaty;F;70-79;28330348;18714910.46;multiple imputation
1;Comirnaty;F;80+;24461769;14977733.05;multiple imputation
1;Comirnaty;M;12-17;14229905;7068319.818;multiple imputation
1;Comirnaty;M;18-24;16429922;11653151.57;multiple imputation
1;Comirnaty;M;25-29;12527944;11805785.81;multiple imputation
1;Comirnaty;M;30-39;28841440;24850604.48;multiple imputation
1;Comirnaty;M;40-49;34262623;28478038.04;multiple imputation
1;Comirnaty;M;5-11;58584;58610.56024;multiple imputation
1;Comirnaty;M;50-59;36244086;24332502.33;multiple imputation
1;Comirnaty;M;60-69;23655805;16372039.59;multiple imputation
1;Comirnaty;M;70-79;23700714;16761419.14;multiple imputation
1;Comirnaty;M;80+;14509285;10885342.53;multiple imputation
1;Spikevax;F;12-17;924335;479311.6185;multiple imputation
1;Spikevax;F;18-24;3253710;2146674.145;multiple imputation
1;Spikevax;F;25-29;2471465;2282789.12;multiple imputation
1;Spikevax;F;30-39;5324445;4418025.686;multiple imputation
1;Spikevax;F;40-49;5171346;4322699.973;multiple imputation
1;Spikevax;F;5-11;7993;8062.806238;multiple imputation
1;Spikevax;F;50-59;5400519;3502157.144;multiple imputation
1;Spikevax;F;60-69;3569843;2298513.564;multiple imputation
1;Spikevax;F;70-79;3047790;1909041.307;multiple imputation
1;Spikevax;F;80+;2373544;1378194.977;multiple imputation
1;Spikevax;M;12-17;982596;479296.0171;multiple imputation
1;Spikevax;M;18-24;3048854;2014828.644;multiple imputation
1;Spikevax;M;25-29;2493378;2299134.63;multiple imputation
1;Spikevax;M;30-39;5205219;4368053.005;multiple imputation
1;Spikevax;M;40-49;4995813;4217532.183;multiple imputation
1;Spikevax;M;5-11;6006;6126.485336;multiple imputation
1;Spikevax;M;50-59;5792467;3755177.347;multiple imputation
1;Spikevax;M;60-69;3109483;2060679.715;multiple imputation
1;Spikevax;M;70-79;2538686;1726427.25;multiple imputation
1;Spikevax;M;80+;1269132;877635.5399;multiple imputation
1;Vaxzevria;F;10-19;266552;233096.7752;multiple imputation
1;Vaxzevria;F;20-29;1545796;1283408.324;multiple imputation
1;Vaxzevria;F;30-39;2517504;2115145.525;multiple imputation
1;Vaxzevria;F;40-49;3916693;3007714.188;multiple imputation
1;Vaxzevria;F;50-59;4743586;3029887.298;multiple imputation
1;Vaxzevria;F;60-69;12918095;7814013.536;multiple imputation
1;Vaxzevria;F;70-79;5425587;3397432.276;multiple imputation
1;Vaxzevria;F;80+;1166947;794059.3659;multiple imputation
1;Vaxzevria;M;10-19;198433;182204.7679;multiple imputation
1;Vaxzevria;M;20-29;1080156;966905.6157;multiple imputation
1;Vaxzevria;M;30-39;2372535;2065791.505;multiple imputation
1;Vaxzevria;M;40-49;3047303;2451037.452;multiple imputation
1;Vaxzevria;M;50-59;4460386;2993867.315;multiple imputation
1;Vaxzevria;M;60-69;13133464;7895880.915;multiple imputation
1;Vaxzevria;M;70-79;5079719;3230081.404;multiple imputation
1;Vaxzevria;M;80+;726072;531114.5168;multiple imputation
2;Comirnaty;F;12-17;13838478;7067453.471;multiple imputation
2;Comirnaty;F;18-24;16903011;11585024.49;multiple imputation
2;Comirnaty;F;25-29;12287227;11497923.17;multiple imputation
2;Comirnaty;F;30-39;29767996;25286108.52;multiple imputation
2;Comirnaty;F;40-49;36570801;30021133.46;multiple imputation
2;Comirnaty;F;5-11;88561;88257.45507;multiple imputation
2;Comirnaty;F;50-59;36619659;23953786.72;multiple imputation
2;Comirnaty;F;60-69;26480808;17296990.13;multiple imputation
2;Comirnaty;F;70-79;28462201;18712851.86;multiple imputation
2;Comirnaty;F;80+;24429935;14868841.53;multiple imputation
2;Comirnaty;M;12-17;14228390;7071594.068;multiple imputation
2;Comirnaty;M;18-24;16425403;11576622.92;multiple imputation
2;Comirnaty;M;25-29;12636321;11805256.73;multiple imputation
2;Comirnaty;M;30-39;28841309;24625143.09;multiple imputation
2;Comirnaty;M;40-49;35193459;29071677.18;multiple imputation
2;Comirnaty;M;5-11;139302;138245.4586;multiple imputation
2;Comirnaty;M;50-59;36344634;24284312.89;multiple imputation
